"passage";"planche";"Correction"
1;1;0.0901798154873729
1;2;0.0647557749511445
1;3;0.0391648453093219
1;4;0.013262140934227
1;5;-0.0129417523225738
1;6;-0.0393190260156356
1;7;-0.0657741113752665
1;8;-0.0922571986521217
1;9;-0.118723763229606
1;10;-0.145087869386716
1;11;-0.17127513801598
1;12;-0.197211958073226
1;13;-0.222839633600204
1;14;-0.248139069197673
1;15;-0.273110542446651
1;16;-0.297795721909525
1;17;-0.322279315716188
1;18;-0.346655917316129
1;19;-0.370987820682569
1;20;-0.395287837755493
2;1;0.0984907191798201
2;2;0.0859403307411596
2;3;0.0734294966405407
2;4;0.06095532664141
2;5;0.0487610865829561
2;6;0.0371276211848039
2;7;0.0260625664269841
2;8;0.0154346214946448
2;9;0.00518989615285915
2;10;-0.00463377313654806
2;11;-0.0140100311998882
2;12;-0.0228739339117138
2;13;-0.031175616745315
2;14;-0.0389345814739555
2;15;-0.0461345665441246
2;16;-0.0528308652216209
2;17;-0.0591930205863391
2;18;-0.0653906514046525
2;19;-0.0715367937923326
2;20;-0.0776388856877285
3;1;0.146610642042542
3;2;0.141400017858355
3;3;0.136307474375558
3;4;0.131516032843878
3;5;0.12753033619224
3;6;0.124898602997125
3;7;0.123835639686154
3;8;0.124362382302589
3;9;0.126520779710564
3;10;0.130323746958766
3;11;0.135603109362982
3;12;0.142111993408392
3;13;0.149638303740882
3;14;0.15794860416658
3;15;0.166953535271274
3;16;0.176611881848854
3;17;0.186771990034676
3;18;0.197259197336161
3;19;0.207800625556534
3;20;0.218182664919577
4;1;0.214941464144429
4;2;0.214061847859182
4;3;0.21334398151604
4;4;0.212990287768778
4;5;0.21336979182214
4;6;0.21491823842284
4;7;0.218104663335327
4;8;0.223368551339428
4;9;0.23096493680645
4;10;0.240919843388605
4;11;0.253127498426497
4;12;0.267482151481695
4;13;0.283897972154456
4;14;0.30209191856552
4;15;0.321674068953649
4;16;0.342344345072928
4;17;0.363769430128003
4;18;0.385574495002165
4;19;0.40724258800656
4;20;0.428353174994529
5;1;0.264549281197208
5;2;0.266907878714053
5;3;0.269321370399869
5;4;0.271849199979683
5;5;0.274652298617534
5;6;0.277977889240621
5;7;0.282273263397436
5;8;0.288070872907698
5;9;0.29571959218764
5;10;0.305315101906955
5;11;0.316925273003589
5;12;0.330690936226627
5;13;0.346691054157248
5;14;0.364690176145414
5;15;0.384156006466775
5;16;0.404527944489066
5;17;0.425353935303475
5;18;0.44641362278288
5;19;0.467529762568694
5;20;0.488503599113109
6;1;0.263481468982628
6;2;0.269070819472057
6;3;0.274408459081975
6;4;0.279335921427543
6;5;0.283915835814504
6;6;0.288300014703475
6;7;0.292693425815479
6;8;0.297419352096522
6;9;0.302790638863861
6;10;0.30896489125179
6;11;0.315998418848383
6;12;0.323941608625014
6;13;0.332856742556306
6;14;0.3427809448737
6;15;0.353570883652029
6;16;0.364960411700997
6;17;0.37674594118391
6;18;0.388841208066728
6;19;0.401168717815373
6;20;0.41357819767596
7;1;0.206180280775955
7;2;0.212231754491357
7;3;0.218213146802921
7;4;0.224064510929426
7;5;0.229640865597061
7;6;0.234687977394202
7;7;0.238949863854727
7;8;0.242254336222944
7;9;0.244567855242217
7;10;0.245964652434119
7;11;0.246409826676686
7;12;0.245709368505323
7;13;0.243808878311229
7;14;0.241106658708139
7;15;0.238157229937579
7;16;0.235412864234498
7;17;0.233169505540272
7;18;0.231471456126984
7;19;0.230085476750527
7;20;0.228659524471047
8;1;0.116777698639601
8;2;0.117995759015621
8;3;0.11932802311471
8;4;0.120864654481414
8;5;0.122366340816687
8;6;0.123346712558624
8;7;0.123337145301983
8;8;0.121832304898987
8;9;0.118407480844493
8;10;0.112885432885273
8;11;0.105074463402422
8;12;0.0945247039381861
8;13;0.0808101189999562
8;14;0.0641040459965397
8;15;0.0451751625517656
8;16;0.0250313708872737
8;17;0.00452405098615337
8;18;-0.0158770187253002
8;19;-0.0360352755922201
8;20;-0.0560448801322927
9;1;0.0166856975688148
9;2;0.00637415354394668
9;3;-0.00384252690145806
9;4;-0.0139232183155603
9;5;-0.0240370709242955
9;6;-0.0344570828967059
9;7;-0.0455001051463067
9;8;-0.0576588063172543
9;9;-0.0715316447157321
9;10;-0.0876178174955659
9;11;-0.106383594807471
9;12;-0.128450301526164
9;13;-0.154325949689322
9;14;-0.183828259753459
9;15;-0.216223651702785
9;16;-0.250689318304659
9;17;-0.286484330514061
9;18;-0.32305213493285
9;19;-0.359938858450667
9;20;-0.396810193060155
10;1;-0.0851582948124851
10;2;-0.112189251254527
10;3;-0.139228187541297
10;4;-0.166294983591182
10;5;-0.193519502640619
10;6;-0.221077907277096
10;7;-0.249167577867804
10;8;-0.278037591395279
10;9;-0.308004247889536
10;10;-0.339396707088419
10;11;-0.372525777946548
10;12;-0.407675719660412
10;13;-0.445008150362942
10;14;-0.484452273271726
10;15;-0.525827252623457
10;16;-0.568960086330092
10;17;-0.613573452113802
10;18;-0.659266055441595
10;19;-0.705573241303569
10;20;-0.752049103432027
